decision_id,claim_id,severity,fraud_risk,route_to,rationale,created_at
50,50,MEDIUM,0.52,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-03-03
51,51,LOW,0.11,OPERATIONS,"Routine claim, low risk indicators",2025-01-11
52,52,MEDIUM,0.26,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-04-23
53,53,LOW,0.69,SIU,"Routine claim, low risk indicators",2025-01-31
54,54,LOW,0.86,SIU,"Routine claim, low risk indicators",2025-06-19
55,55,LOW,0.26,OPERATIONS,"Routine claim, low risk indicators",2025-09-06
56,56,LOW,0.17,OPERATIONS,"Routine claim, low risk indicators",2025-08-31
57,57,LOW,0.48,OPERATIONS,"Routine claim, low risk indicators",2025-07-28
58,58,LOW,0.14,OPERATIONS,"Routine claim, low risk indicators",2025-08-09
59,59,LOW,0.42,OPERATIONS,"Routine claim, low risk indicators",2025-01-28
60,60,MEDIUM,0.94,SIU,"Moderate risk, but consistent with prior claim data",2025-02-20
61,61,LOW,0.71,SIU,"Routine claim, low risk indicators",2025-02-25
62,62,LOW,0.22,OPERATIONS,"Routine claim, low risk indicators",2025-08-18
63,63,LOW,0.22,OPERATIONS,"Routine claim, low risk indicators",2025-08-25
64,64,LOW,0.88,SIU,"Routine claim, low risk indicators",2025-08-15
65,65,HIGH,0.82,SIU,"High-cost or suspicious claim, requires deeper review",2025-02-20
66,66,LOW,0.95,SIU,"Routine claim, low risk indicators",2025-01-08
67,67,HIGH,0.88,SIU,"High-cost or suspicious claim, requires deeper review",2025-05-02
68,68,LOW,0.49,OPERATIONS,"Routine claim, low risk indicators",2025-04-20
69,69,HIGH,0.86,SIU,"High-cost or suspicious claim, requires deeper review",2025-03-26
70,70,LOW,0.94,SIU,"Routine claim, low risk indicators",2025-05-16
71,71,HIGH,0.76,SIU,"High-cost or suspicious claim, requires deeper review",2025-05-27
72,72,MEDIUM,0.91,SIU,"Moderate risk, but consistent with prior claim data",2025-09-07
73,73,LOW,0.32,OPERATIONS,"Routine claim, low risk indicators",2025-01-30
74,74,MEDIUM,0.54,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-06-10
75,75,LOW,0.58,OPERATIONS,"Routine claim, low risk indicators",2025-09-15
76,76,HIGH,0.53,SIU,"High-cost or suspicious claim, requires deeper review",2025-01-30
77,77,HIGH,0.12,SIU,"High-cost or suspicious claim, requires deeper review",2025-04-06
78,78,LOW,0.11,OPERATIONS,"Routine claim, low risk indicators",2025-05-01
79,79,MEDIUM,0.9,SIU,"Moderate risk, but consistent with prior claim data",2025-05-07
80,80,MEDIUM,0.09,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-02-11
81,81,MEDIUM,0.58,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-09-25
82,82,LOW,0.28,OPERATIONS,"Routine claim, low risk indicators",2025-06-10
83,83,LOW,0.41,OPERATIONS,"Routine claim, low risk indicators",2025-06-03
84,84,MEDIUM,0.89,SIU,"Moderate risk, but consistent with prior claim data",2025-02-07
85,85,LOW,0.61,OPERATIONS,"Routine claim, low risk indicators",2025-02-21
86,86,LOW,0.24,OPERATIONS,"Routine claim, low risk indicators",2025-05-16
87,87,LOW,0.36,OPERATIONS,"Routine claim, low risk indicators",2025-02-05
88,88,HIGH,0.38,SIU,"High-cost or suspicious claim, requires deeper review",2025-03-22
89,89,MEDIUM,0.54,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-06-04
90,90,MEDIUM,0.94,SIU,"Moderate risk, but consistent with prior claim data",2025-09-28
91,91,LOW,0.79,SIU,"Routine claim, low risk indicators",2025-06-03
92,92,HIGH,0.14,SIU,"High-cost or suspicious claim, requires deeper review",2025-03-10
93,93,LOW,0.85,SIU,"Routine claim, low risk indicators",2025-03-21
94,94,LOW,0.59,OPERATIONS,"Routine claim, low risk indicators",2025-06-25
95,95,LOW,0.62,OPERATIONS,"Routine claim, low risk indicators",2025-05-16
96,96,MEDIUM,0.28,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-01-27
97,97,LOW,0.43,OPERATIONS,"Routine claim, low risk indicators",2025-05-22
98,98,LOW,0.35,OPERATIONS,"Routine claim, low risk indicators",2025-03-08
99,99,MEDIUM,0.29,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-08-15
100,100,MEDIUM,0.43,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-01-05
